"Date","Time","Open","High","Low","Close","Up","Down","xHigh","xLow","xOpen","xClose"
01/04/2014,09:35,1831.25,1832.50,1830.25,1830.25,12734,16269,1832.50,1830.25,1830.86,1830.82
01/04/2014,09:40,1830.50,1830.75,1828.00,1828.50,10594,15091,1830.84,1828.00,1830.84,1829.32
01/04/2014,09:45,1828.25,1828.50,1824.75,1825.75,17692,26468,1830.08,1824.75,1830.08,1826.97
01/04/2014,09:50,1825.75,1826.25,1824.50,1825.75,12786,13546,1828.52,1824.50,1828.52,1826.15
01/04/2014,09:55,1825.50,1826.50,1823.75,1825.75,15118,15104,1827.34,1823.75,1827.34,1825.82
01/04/2014,10:00,1826.00,1826.50,1825.25,1826.50,4717,2842,1826.58,1825.25,1826.58,1826.27
01/04/2014,10:05,1826.25,1826.75,1823.50,1825.00,13984,16804,1826.75,1823.50,1826.42,1825.33
01/04/2014,10:10,1825.00,1825.75,1824.00,1825.25,10205,9956,1825.88,1824.00,1825.88,1825.23
01/04/2014,10:15,1825.00,1826.00,1824.50,1825.00,8084,7489,1826.00,1824.50,1825.55,1825.21
01/04/2014,10:20,1825.25,1827.00,1824.50,1826.75,10026,7075,1827.00,1824.50,1825.38,1826.08
01/04/2014,10:25,1827.00,1827.75,1826.50,1827.00,7945,5901,1827.75,1825.73,1825.73,1826.80
01/04/2014,10:30,1827.25,1827.50,1825.75,1826.75,10786,7130,1827.50,1825.75,1826.26,1826.60
01/04/2014,10:35,1827.00,1827.50,1826.50,1826.75,9044,5621,1827.50,1826.43,1826.43,1826.79
01/04/2014,10:40,1827.00,1827.75,1826.25,1826.50,6608,4273,1827.75,1826.25,1826.61,1826.72
01/04/2014,10:45,1826.25,1826.50,1825.25,1825.25,6417,8264,1826.67,1825.25,1826.67,1825.78
01/04/2014,10:50,1825.25,1825.50,1824.00,1824.25,6542,8378,1826.22,1824.00,1826.22,1824.84
01/04/2014,10:55,1824.25,1825.75,1824.00,1825.50,5766,4854,1825.75,1824.00,1825.53,1825.26
01/04/2014,11:00,1825.25,1825.50,1822.00,1822.50,13345,21968,1825.50,1822.00,1825.40,1823.58
01/04/2014,11:05,1822.50,1823.50,1821.75,1823.00,7323,5626,1824.49,1821.75,1824.49,1823.15
01/04/2014,11:10,1822.75,1823.25,1822.25,1822.50,4761,3568,1823.82,1822.25,1823.82,1822.86
01/04/2014,11:15,1822.50,1822.75,1820.25,1821.00,12426,15611,1823.34,1820.25,1823.34,1821.67
01/04/2014,11:20,1821.00,1821.25,1817.50,1818.75,22681,25630,1822.50,1817.50,1822.50,1819.75
01/04/2014,11:25,1818.75,1819.25,1818.25,1818.75,13006,8190,1821.13,1818.25,1821.13,1819.23
01/04/2014,11:30,1818.75,1819.75,1817.25,1819.25,15307,10540,1820.18,1817.25,1820.18,1819.14
01/04/2014,11:35,1819.50,1820.00,1819.25,1819.50,7445,5370,1820.00,1819.25,1819.66,1819.58
01/04/2014,11:40,1819.25,1819.75,1818.00,1819.25,5193,6647,1819.75,1818.00,1819.62,1819.17
01/04/2014,11:45,1819.25,1819.75,1818.75,1818.75,3174,4340,1819.75,1818.75,1819.40,1819.08
01/04/2014,11:50,1818.75,1819.50,1818.00,1819.00,6581,4817,1819.50,1818.00,1819.24,1818.95
01/04/2014,11:55,1819.00,1820.25,1818.75,1820.00,4701,3303,1820.25,1818.75,1819.09,1819.62
01/04/2014,12:00,1820.00,1820.50,1819.75,1820.50,7601,6398,1820.50,1819.36,1819.36,1820.12
01/04/2014,12:05,1820.50,1820.50,1819.00,1819.75,4010,9718,1820.50,1819.00,1819.74,1819.75
01/04/2014,12:10,1820.00,1821.00,1819.75,1820.25,6195,8114,1821.00,1819.74,1819.74,1820.20
01/04/2014,12:15,1820.25,1820.50,1819.25,1820.00,8095,4308,1820.50,1819.25,1819.97,1819.94
01/04/2014,12:20,1820.25,1820.50,1819.75,1820.25,2183,3969,1820.50,1819.75,1819.96,1820.14
01/04/2014,12:25,1820.25,1821.25,1820.00,1820.50,5688,2863,1821.25,1820.00,1820.05,1820.46
01/04/2014,12:30,1820.50,1821.00,1819.50,1819.50,2165,4838,1821.00,1819.50,1820.25,1819.95
01/04/2014,12:35,1819.75,1819.75,1818.00,1819.25,7376,11670,1820.10,1818.00,1820.10,1819.27
01/04/2014,12:40,1819.25,1819.25,1818.25,1819.00,5904,7580,1819.69,1818.25,1819.69,1819.04
01/04/2014,12:45,1818.75,1819.25,1818.25,1818.75,1586,3018,1819.36,1818.25,1819.36,1818.87
01/04/2014,12:50,1818.75,1819.25,1818.25,1818.75,3155,5224,1819.25,1818.25,1819.12,1818.82
01/04/2014,12:55,1818.75,1821.00,1818.75,1820.75,7876,2277,1821.00,1818.75,1818.97,1820.04
01/04/2014,13:00,1820.75,1820.75,1819.75,1820.00,4097,3493,1820.75,1819.51,1819.51,1820.00
01/04/2014,13:05,1820.25,1820.50,1819.50,1819.50,4574,9716,1820.50,1819.50,1819.75,1819.75
01/04/2014,13:10,1819.50,1820.00,1818.75,1818.75,2889,3396,1820.00,1818.75,1819.75,1819.20
01/04/2014,13:15,1819.00,1819.50,1818.50,1819.25,4177,4944,1819.50,1818.50,1819.48,1819.20
01/04/2014,13:20,1819.50,1820.75,1819.25,1820.50,4172,2987,1820.75,1819.25,1819.34,1820.07
01/04/2014,13:25,1820.50,1821.00,1820.00,1820.25,4500,4207,1821.00,1819.70,1819.70,1820.24
01/04/2014,13:30,1820.00,1820.75,1819.75,1819.75,3826,4378,1820.75,1819.75,1819.97,1819.99
01/04/2014,13:35,1819.75,1820.50,1819.00,1819.00,4201,3493,1820.50,1819.00,1819.98,1819.50
01/04/2014,13:40,1819.25,1820.75,1819.00,1820.75,2955,1266,1820.75,1819.00,1819.74,1820.20
